query,src_folder,src_dialect,tgt_dialect,level,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error
auto_increment_table,mysql,mysql,tsql,basic,35,easy,True,True,True,0.993,
auto_increment_table,mysql,mysql,oracle,basic,35,easy,True,True,True,0.867,
auto_increment_table,mysql,mysql,snowflake,basic,35,easy,True,True,True,0.985,
insert_with_now,mysql,mysql,postgres,basic,15,easy,True,True,False,1.35,
insert_with_now,mysql,mysql,mysql,basic,15,easy,True,True,True,1.181,
insert_with_now,mysql,mysql,tsql,basic,15,easy,True,True,True,0.659,
insert_with_now,mysql,mysql,oracle,basic,15,easy,True,True,True,0.527,
insert_with_now,mysql,mysql,snowflake,basic,15,easy,True,True,True,0.552,
basic_update,mysql,mysql,postgres,basic,15,easy,True,True,True,0.36,
basic_update,mysql,mysql,mysql,basic,15,easy,True,True,True,0.564,
basic_update,mysql,mysql,tsql,basic,15,easy,True,True,True,0.331,
basic_update,mysql,mysql,oracle,basic,15,easy,True,True,True,0.313,
basic_update,mysql,mysql,snowflake,basic,15,easy,True,True,True,0.3,
limit_offset,mysql,mysql,postgres,basic,20,easy,True,True,True,0.485,
limit_offset,mysql,mysql,mysql,basic,20,easy,True,True,True,0.844,
limit_offset,mysql,mysql,tsql,basic,20,easy,True,True,False,0.815,
limit_offset,mysql,mysql,oracle,basic,20,easy,True,True,False,0.506,
limit_offset,mysql,mysql,snowflake,basic,20,easy,True,True,True,1.109,
inner_join,mysql,mysql,postgres,basic,20,easy,True,True,True,0.628,
inner_join,mysql,mysql,mysql,basic,20,easy,True,True,True,0.851,
inner_join,mysql,mysql,tsql,basic,20,easy,True,True,True,0.571,
inner_join,mysql,mysql,oracle,basic,20,easy,True,True,True,0.491,
inner_join,mysql,mysql,snowflake,basic,20,easy,True,True,True,0.712,
aggregate_count,mysql,mysql,postgres,basic,20,easy,True,True,True,0.44,
aggregate_count,mysql,mysql,mysql,basic,20,easy,True,True,True,1.684,
aggregate_count,mysql,mysql,tsql,basic,20,easy,True,True,True,0.729,
aggregate_count,mysql,mysql,oracle,basic,20,easy,True,True,True,0.544,
aggregate_count,mysql,mysql,snowflake,basic,20,easy,True,True,True,0.644,
where_in,mysql,mysql,postgres,basic,15,easy,True,True,True,0.412,
where_in,mysql,mysql,mysql,basic,15,easy,True,True,True,0.614,
where_in,mysql,mysql,tsql,basic,15,easy,True,True,True,0.401,
where_in,mysql,mysql,oracle,basic,15,easy,True,True,True,0.377,
where_in,mysql,mysql,snowflake,basic,15,easy,True,True,True,0.472,
json_extract,mysql,mysql,postgres,intermediate,40,medium,True,True,True,0.487,
json_extract,mysql,mysql,mysql,intermediate,40,medium,True,True,True,0.709,
json_extract,mysql,mysql,tsql,intermediate,40,medium,True,True,False,1.429,
json_extract,mysql,mysql,oracle,intermediate,40,medium,True,True,True,0.985,
json_extract,mysql,mysql,snowflake,intermediate,40,medium,True,True,False,0.938,
group_concat,mysql,mysql,postgres,intermediate,40,medium,True,True,True,0.642,
group_concat,mysql,mysql,mysql,intermediate,40,medium,True,True,True,0.858,
group_concat,mysql,mysql,tsql,intermediate,40,medium,True,True,True,0.567,
group_concat,mysql,mysql,oracle,intermediate,40,medium,True,True,True,0.567,
group_concat,mysql,mysql,snowflake,intermediate,40,medium,True,True,True,0.707,
date_format,mysql,mysql,postgres,intermediate,40,medium,True,True,False,1.019,
date_format,mysql,mysql,mysql,intermediate,40,medium,True,True,True,1.616,
date_format,mysql,mysql,tsql,intermediate,40,medium,True,True,False,0.937,
date_format,mysql,mysql,oracle,intermediate,40,medium,True,True,False,0.799,
date_format,mysql,mysql,snowflake,intermediate,40,medium,True,True,False,0.945,
subquery_in_select,mysql,mysql,postgres,intermediate,45,medium,True,True,True,0.707,
subquery_in_select,mysql,mysql,mysql,intermediate,45,medium,True,True,True,1.087,
subquery_in_select,mysql,mysql,tsql,intermediate,45,medium,True,True,True,1.023,
subquery_in_select,mysql,mysql,oracle,intermediate,45,medium,True,True,True,1.435,
subquery_in_select,mysql,mysql,snowflake,intermediate,45,medium,True,True,True,1.288,
left_join_with_aggregation,mysql,mysql,postgres,intermediate,50,medium,True,True,True,0.904,
left_join_with_aggregation,mysql,mysql,mysql,intermediate,50,medium,True,True,True,1.333,
left_join_with_aggregation,mysql,mysql,tsql,intermediate,50,medium,True,True,True,0.89,
left_join_with_aggregation,mysql,mysql,oracle,intermediate,50,medium,True,True,True,1.827,
left_join_with_aggregation,mysql,mysql,snowflake,intermediate,50,medium,True,True,True,1.446,
case_when,mysql,mysql,postgres,intermediate,35,medium,True,True,True,0.672,
case_when,mysql,mysql,mysql,intermediate,35,medium,True,True,True,0.877,
