query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
uuid_generation,postgresql,postgres,mysql,dialect_specific,hard,True,True,True,True,,
uuid_generation,postgresql,postgres,tsql,dialect_specific,hard,True,True,True,True,,
uuid_generation,postgresql,postgres,oracle,dialect_specific,hard,True,True,True,True,,
uuid_generation,postgresql,postgres,snowflake,dialect_specific,hard,True,True,True,True,,
simple_select,mysql,mysql,postgres,basic,easy,True,True,True,True,,
simple_select,mysql,mysql,mysql,basic,easy,True,True,True,True,,
simple_select,mysql,mysql,tsql,basic,easy,True,True,True,True,,
simple_select,mysql,mysql,oracle,basic,easy,True,True,True,True,,
simple_select,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
auto_increment_table,mysql,mysql,postgres,basic,easy,True,False,False,False,,
auto_increment_table,mysql,mysql,mysql,basic,easy,True,True,True,True,,
auto_increment_table,mysql,mysql,tsql,basic,easy,True,True,True,True,,
auto_increment_table,mysql,mysql,oracle,basic,easy,True,True,True,False,,
auto_increment_table,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
insert_with_now,mysql,mysql,postgres,basic,easy,True,False,False,False,,
insert_with_now,mysql,mysql,mysql,basic,easy,True,True,True,True,,
insert_with_now,mysql,mysql,tsql,basic,easy,True,True,True,True,,
insert_with_now,mysql,mysql,oracle,basic,easy,True,True,True,True,,
insert_with_now,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
basic_update,mysql,mysql,postgres,basic,easy,True,True,True,True,,
basic_update,mysql,mysql,mysql,basic,easy,True,True,True,True,,
basic_update,mysql,mysql,tsql,basic,easy,True,True,True,True,,
basic_update,mysql,mysql,oracle,basic,easy,True,True,True,True,,
basic_update,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
limit_offset,mysql,mysql,postgres,basic,easy,True,True,True,True,,
limit_offset,mysql,mysql,mysql,basic,easy,True,True,True,True,,
limit_offset,mysql,mysql,tsql,basic,easy,True,False,False,False,,
limit_offset,mysql,mysql,oracle,basic,easy,True,False,False,False,,
limit_offset,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
inner_join,mysql,mysql,postgres,basic,easy,True,True,True,True,,
inner_join,mysql,mysql,mysql,basic,easy,True,True,True,True,,
inner_join,mysql,mysql,tsql,basic,easy,True,True,True,True,,
inner_join,mysql,mysql,oracle,basic,easy,True,True,True,True,,
