query,src_folder,src_dialect,tgt_dialect,level_x,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error,name,level_y,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
multiple_joins,postgresql,postgres,postgres,intermediate,60,medium,True,True,True,1.973,,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
multiple_joins,postgresql,postgres,mysql,intermediate,60,medium,True,True,True,1.223,,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
multiple_joins,postgresql,postgres,tsql,intermediate,60,medium,True,True,True,1.31,,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
multiple_joins,postgresql,postgres,oracle,intermediate,60,medium,True,True,True,1.333,,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
multiple_joins,postgresql,postgres,snowflake,intermediate,60,medium,True,True,True,1.727,,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
case_statement,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,0.975,,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
case_statement,postgresql,postgres,mysql,intermediate,35,medium,True,True,True,0.551,,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
case_statement,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,0.589,,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
case_statement,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.541,,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
case_statement,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.707,,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
coalesce_function,postgresql,postgres,postgres,intermediate,25,medium,True,True,True,0.658,,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
coalesce_function,postgresql,postgres,mysql,intermediate,25,medium,True,True,True,0.433,,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
coalesce_function,postgresql,postgres,tsql,intermediate,25,medium,True,True,True,0.431,,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
coalesce_function,postgresql,postgres,oracle,intermediate,25,medium,True,True,True,0.385,,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
coalesce_function,postgresql,postgres,snowflake,intermediate,25,medium,True,True,True,0.504,,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
string_aggregation,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,0.875,,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
string_aggregation,postgresql,postgres,mysql,intermediate,40,medium,True,True,False,0.611,,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
string_aggregation,postgresql,postgres,tsql,intermediate,40,medium,True,True,False,0.652,,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
string_aggregation,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.547,,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
string_aggregation,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.674,,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
jsonb_operations,postgresql,postgres,postgres,intermediate,55,medium,True,True,True,1.061,,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
jsonb_operations,postgresql,postgres,mysql,intermediate,55,medium,True,True,False,0.72,,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
jsonb_operations,postgresql,postgres,tsql,intermediate,55,medium,True,True,False,0.989,,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
jsonb_operations,postgresql,postgres,oracle,intermediate,55,medium,True,True,False,0.687,,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
jsonb_operations,postgresql,postgres,snowflake,intermediate,55,medium,True,True,False,0.962,,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
array_operations,postgresql,postgres,postgres,intermediate,30,medium,True,True,True,0.656,,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
array_operations,postgresql,postgres,mysql,intermediate,30,medium,True,True,True,0.406,,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
array_operations,postgresql,postgres,tsql,intermediate,30,medium,True,True,True,0.418,,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
array_operations,postgresql,postgres,oracle,intermediate,30,medium,True,True,True,0.604,,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
array_operations,postgresql,postgres,snowflake,intermediate,30,medium,True,True,True,0.574,,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
date_truncation,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,0.929,,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
date_truncation,postgresql,postgres,mysql,intermediate,40,medium,True,True,False,0.829,,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
date_truncation,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,0.675,,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
date_truncation,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.582,,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
date_truncation,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.717,,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
self_join,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,0.948,,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
self_join,postgresql,postgres,mysql,intermediate,40,medium,True,True,True,0.575,,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
self_join,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,0.614,,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
self_join,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.549,,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
self_join,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.751,,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
union_queries,postgresql,postgres,postgres,intermediate,30,medium,True,True,True,0.861,,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
union_queries,postgresql,postgres,mysql,intermediate,30,medium,True,True,True,0.537,,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
union_queries,postgresql,postgres,tsql,intermediate,30,medium,True,True,True,0.616,,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
union_queries,postgresql,postgres,oracle,intermediate,30,medium,True,True,True,0.48,,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
union_queries,postgresql,postgres,snowflake,intermediate,30,medium,True,True,True,0.669,,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
exists_clause,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.006,,exists_clause,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exists_clause,postgresql,postgres,mysql,intermediate,40,medium,True,True,True,0.626,,exists_clause,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
